material_id,material_name,manufacturer_id,manufacturer_name,pfas_status,modified_service_pfas_status,current_service_pfas_status
297e0383901730ca01901afd3b680694,VF-SV SYNTHETIC MEDIA,297e0383901730ca01901afd3b680693,Vibra Finish Company,,NO,PENDING
297e0383901730ca01901afc42860688,"Scotch-Brite Products, General Purpose Pads (7447)",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901b13d3f9074f,Clean All,297e0383901730ca01901a72724d011d,"Hangsterfer's Laboratories, Inc.",,NO,PENDING
297e0383901730ca01901afe5f9306a6,8856 WS,297e0383901730ca01901a9dc4e202bd,Matchless Metal Polish Co.,,NO,PENDING
297e0383901730ca01901b07681006ed,BUFFING WHEELS,297e0383901730ca01901adf2ab1055f,"JACKSONLEA, a unit of JASON INC.",,Undetermined,PENDING
297e0383901730ca01901b2331f807e2,Z274 WS GREEN COLORING COMPOUND,297e0383901730ca01901a9dc4e202bd,Matchless Metal Polish Co.,,NO,PENDING
297e0383901730ca01901b280e030827,ACCULUBE LB1100,297e0383901730ca01901b280e030826,QUIMICA INDUSTRIAL DEL NORTE S.A. DE C.V.,,NO,PENDING
297e0383901730ca01901b294c050832,ENABLE mPE (PPA),297e0383901730ca01901b294c050831,"EXXONMOBIL CHEMICAL SERVICES (SHANGHAI) CO., LTD",,NO,PENDING
297e0383901730ca01901b30b0e90879,Sharpie Fine Point Permanent Markers,297e0383901730ca01901b30b0e90878,"Sanford, L.P.",,NO,PENDING
297e0383901730ca01901b36fe3d08c3,V376 GREY STAR STAINLESS STEEL COMPOUND,297e0383901730ca01901a9dc4e202bd,Matchless Metal Polish Co.,,Undetermined,PENDING
297e0383901730ca01901b34531908a8,OS Compound,297e0383901730ca01901b34531908a7,"Saint-Gobain Ceramics & Plastics, Inc.",,NO,PENDING
297e0383901730ca01901b3aafd708d7,V-699 EXTRA SHARP STAINLESS STEEL COMPOUND,297e0383901730ca01901a9dc4e202bd,Matchless Metal Polish Co.,,NO,PENDING
297e0383901730ca01901b3939c608d0,BKP 903,297e0383901730ca01901b3939c608cf,"Bio-Kleen Products, Inc.",,NO,PENDING
297e0383901730ca01901b43442e0920,Coated Finished Belts (Coated) (66623319568),297e0383901730ca01901a8a5e9a0209,"Saint-Gobain Abrasives, Inc.",,NO,PENDING
297e0383901730ca01901b47275a0942,Alumina/Zirconia Coated Abrasives,297e0383901730ca01901a8a5e9a0209,"Saint-Gobain Abrasives, Inc.",,NO,PENDING
297e0383901730ca01901b502aad0989,"Scotch-Brite Products, EXL, EX2, EX3 Deburring Wheels and Buns, A MED",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901b6567590a3c,Vascomill,297e0383901730ca01901b6567590a3b,Blaser Swisslube Inc.,,NO,PENDING
